TACD	TADes-DescAF
630	L.S.D. OF/D.S.L. DE POINTE-DU-CHENE
631	CAPE TORMENTINE CAP TORMENTIN
632	L.S.D. OF/D.S.L. D'ALMA
633	L.S.D. OF/D.S.L. DE BAYFIELD
634	LA HETRIERE-MCGINLEY CORNER L.S.D.
635	L.S.D. OF/D.S.L. DE BAIE-VERTE
636	MEMRAMCOOK L.S.D.
637	CORMIER'S COVE L.S.D
638	SHEDIAC ROAD L.S.D.
639	L.S.D. OF/D.S.L. DE POINTE DE BUTE
640	L.S.D. OF/D.S.L. DE MURRAY CORNER
641	HAUTE ABOUJAGANE
642	L.S.D. OF/D.S.L. DE SHEDIAC CAPE
643	L.S.D. OF/D.S.L. DE SCOUDOUC ROAD
644	SHEDIAC BRIDGE SHEDIAC RIVER
645	L.S.D. OF/D.S.L. DE SCOUDOUC
646	HAUTE ABOUJAGANE
647	L.S.D. OF/D.S.L. DE'BOUDREAU WEST
648	L.S.D. OF/D.S.L. DE'GRAND BARACHOIS
649	GREATER LAKEBURN L.S.D.
650	BEAUBASSIN-EST
651	Beaurivage
652	Five Rivers
653	Grand-Bouctouche
654	Champdoré
655	Beausoleil
656	Nouvelle-Arcadie
659	KENT RD/DR DE KENT
670	MONCTON
671	Riverview
672	Dieppe
673	Shediac
674	Maple Hills
675	Salisbury
676	Cap-Acadie
677	Strait Shores
678	Tantramar
679	SOUTHEAST RD/DR DU SUD-EST
680	Memramcook
681	Fundy Albert
682	Three Rivers
688	ELSIPOGTOG FIRST NATION
700	SAINT-LOUIS-DE-KENT
701	VILLAGE OF/VILLAGE DE SAINT-ANTOINE
702	TOWN OF/VILLE DE BOUCTOUCHE
703	TOWN OF/VILLE DE RICHIBUCTO
704	VILLAGE OF/VILLAGE DE REXTON
705	VILLAGE DE ROGERSVILLE
706	L.S.D. OF/D.S.L. D'ACADIEVILLE
707	L.S.D. OF/D.S.L. DE CARLETON
708	L.S.D. OF/D.S.L. DE SAINT-LOUIS
709	L.S.D. OF/D.S.L. DE SAINT-CHARLES
710	L.S.D. OF/D.S.L. DE HARCOURT
711	L.S.D. OF/D.S.L. DE SAINT-PAUL
712	SAINT MARY/SAINTE-MARIE
713	L.S.D. OF/D.S.L. DE WELLINGTON
714	L.S.D. OF/D.S.L. DE WELDFORD
715	L.S.D. OF/D.S.L. DE DUNDAS
716	RICHIBUCTO/RICHIBOUCTOU
717	CAP-DE-RICHIBOUCTOU
718	L.S.D. OF/D.S.L. DE POINTE-SAPIN
719	SAINTE-ANNE-DE-KENT
720	L.S.D. OF/D.S.L. D'ALDOUANE
721	GRAND SAINT-ANTOINE
722	L.S.D. OF/D.S.L. DE COCAGNE
723	SHEDIAC RIVER - SHEDIAC BRIDGE L.S.D.
724	CHEMIN COMEAU - CHEMIN FRIGAULT L.S.D.
725	L.S.D. OF/D.S.L. DE SAINT-IGNACE
726	CHEMIN ST.OLIVIER-CH CAP ST-LOUIS L.S.D.
727	DESROCHES L.S.D.
728	L.S.D. OF/D.S.L. DE GRANDE-DIGUE
729	Cocagne
730	ELSIPOGTOG FIRST NATIONS
750	CITY OF/CITE DE MIRAMICHI
751	MIRAMICHI
752	VILLAGE OF/VILLAGE DE BLACKVILLE
753	VILLAGE OF/VILLAGE DE DOAKTOWN
754	MIRAMICHI
755	MIRAMICHI
756	VILLAGE OF/VILLAGE DE ROGERSVILLE
757	VILLAGE OF/VILLAGE DE NEGUAC
758	MIRAMICHI
759	L.S.D. OF/D.S.L. D'ALNWICK
760	L.S.D. OF/D.S.L. DE BLACKVILLE
761	L.S.D. OF/D.S.L. DE BLISSFIELD
762	L.S.D. OF/D.S.L. DE CHATHAM
763	L.S.D. OF/D.S.L. DE DERBY
764	L.S.D. OF/D.S.L. DE GLENELG
765	L.S.D. OF/D.S.L. DE HARDWICKE
766	L.S.D. OF/D.S.L. D''UPPER MIRAMICHI
767	L.S.D. OF/D.S.L. DE NELSON
768	L.S.D. OF/D.S.L. DE NEWCASTLE
769	L.S.D. OF/D.S.L. DE NORTH ESK
770	L.S.D. OF/D.S.L. DE SOUTH ESK
771	L.S.D. OF/D.S.L. DE ROGERSVILLE
772	BAIE-SAINTE-ANNE
773	L.S.D. OF/D.S.L. DE TABUSINTAC
774	L.S.D. OF/D.S.L. D'ESCUMINAC
775	RENOUS-QUARRYVILLE
776	OAK POINT-BARTIBOG BRIDGE
777	BLACK RIVER-HARDWICKE
778	HAUT-RIVIERE-DU-PORTAGE
779	CHATHAM HEAD L.S.D.
780	DOUGLASFIELD L.S.D.
781	NORDIN L.S.D.
782	RIVIERE-DU-PORTAGE TRACADIE BEACH
783	L.S.D. OF/D.S.L. DE FAIR ISLE
784	FERRY ROAD-RUSSELLVILLE
785	L.S.D OF/D.S.L. DE SUNNY CORNER
786	VAL COMEAU L.S.D.
787	L.S.D. OF/D.S.L. DE BRANTVILLE
788	MOOREFIELD L.S.D.
789	L.S.D. OF/D.S.L. DE ST. MARGARETS
790	L.S.D. OF/D.S.L. DE COLETTE
791	UPPER MIRAMICHI
800	CITY OF/CITE DE BATHURST
801	TOWN OF/VILLE DE TRACADIE-SHEILA
802	TOWN OF/VILLE DE SHIPPAGAN
803	TOWN OF/VILLE DE CARAQUET
804	VILLAGE OF/VILLAGE DE PAQUETVILLE
805	TOWN OF/VILLE DE LAMEQUE
806	VILLAGE OF/VILLAGE DE PETIT-ROCHER
807	VILLAGE OF/VILLAGE DE POINTE-VERTE
808	VILLAGE OF/VILLAGE DE BAS-CARAQUET
809	VILLAGE OF/VILLAGE DE GRANDE-ANSE
810	TOWN OF/VILLE DE BERESFORD
811	VILLAGE OF/VILLAGE DE NIGADOO
812	VILLAGE OF BELLEDUNE(ALL PTYS >910-06/94
813	VILLAGE OF/VILLAGE DE BERTRAND
814	VILLAGE OF/VILLAGE DE SAINT-LEOLIN
815	VILLAGE DE SHEILA
816	INKERMAN SOUTH L.S.D.
817	L.S.D. OF/D.S.L. DE NEW BANDON
818	L.S.D. OF/D.S.L. DE PAQUETVILLE
819	PARISH OF/PAROISSE DE SAUMAREZ
820	L.S.D. OF/D.S.L. DE SHIPPAGAN
821	L.S.D. OF/D.S.L. DE SAINT-ISIDORE
822	L.S.D. OF/D.S.L. DE BERESFORD
823	L.S.D. OF/D.S.L. D'ALLARDVILLE
824	L.S.D. OF/D.S.L. DE BATHURST
825	L.S.D. OF/D.S.L. DE CARAQUET
826	LE GOULET L.S.D.
827	MAISONETTE L.S.D.
828	L.S.D. OF/D.S.L. D'ANSE-BLEUE
829	PETIT-ROCHER-SUD
830	ST. ISIDORE CENTRE L.S.D.
831	L.S.D. OF/D.S.L. DE CAP-BATEAU
832	L.S.D. OF/D.S.L. DE CHIASSON-SAVOY
833	L.S.D. OF/D.S.L. D'INKERMAN CENTRE
834	L.S.D. OF/D.S.L. DE PETITE-LAMEQUE
835	L.S.D. OF/D.S.L. DE ROBERTVILLE
836	ALLARDVILLE CENTRE L.S.D.
837	L.S.D. OF/D.S.L. DE PIGEON HILL
838	L.S.D. OF/D.S.L. DE SAINT-SIMON
839	L.S.D. OF/D.S.L. DE TREMBLAY
840	L.S.D. OF/D.S.L. DE STE. CECILE
841	INKERMAN NORTH L.S.D.
842	L.S.D. OF/D.S.L. DE POINTE-SAUVAGE
843	ST. PAUL L.S.D.
844	L.S.D. OF/D.S.L. DE BENOIT
845	L.S.D. OF/D.S.L. DE HAUT-LAMEQUE
846	PETIT-ROCHER-NORD
847	PORTAGE-DE-SHIPPAGAN
848	L.S.D. OF/D.S.L. DE DUGAS
849	PORTAGE RIVER-TRACADIE BEACH L.S.D.
850	BAIE DE PETIT POKEMOUCHE
851	L.S.D. OF/D.S.L. DE LAPLANTE
852	MISCOU ISLAND ILE DE MISCOU
853	L.S.D. OF/D.S.L. DE PONT-LAFRANCE
854	L.S.D. OF/D.S.L. DE VAL-COMEAU
855	L.S.D. OF/D.S.L. DE SAINT-PONS
856	L.S.D. OF/D.S.L. DE HAUT-SHEILA
857	L.S.D. OF/D.S.L. DE SAINT-SAUVEUR
858	L.S.D. OF/D.S.L. DE PONT LANDRY
859	NOTRE-DAME-DES-ERABLES
860	VILLAGE OF/VILLAGE DE MAISONNETTE
861	VILLAGE OF/VILLAGE DE LE GOULET
862	SAINTE-MARIE- SAINT-RAPHAEL
863	NORTH TETAGOUCHE
864	L.S.D. OF/D.S.L. DE LEECH
865	SAINT-IRENEE ALDERWOOD
866	L.S.D. OF/D.S.L. DE SAUMAREZ
867	L.S.D. OF/D.S.L. DE POIRIER
868	L.S.D. OF/D.S.L. DE POINTE-CANOT
869	BLANCHARD SETTLEMENT
870	L.S.D. OF/D.S.L. DE COTEAU ROAD
871	L.S.D. OF/D.S.L. DE MALTEMPEC
872	L.S.D. OF/D.S.L. DE POKEMOUCHE
873	L.S.D. OF/D.S.L. DE SAINTE-ROSE
874	L.S.D. OF/D.S.L. D'EVANGELINE
875	POINTE-A-BOULEAU
876	L.S.D. OF/D.S.L. DE LANDRY OFFICE
877	POKESUDIE ISLAND
878	L.S.D. OF/D.S.L. DE DUNLOP
